,Residual,Depth,Entropy,Var. Contr. by 1,Var. Contr. by 2,Var. Contr. by 3,Var. Contr. by 4,Var. Contr. by 5,Var. Contr. by 6,Var. Contr. by 7,Var. Contr. by 8,Var. Contr. by 9,Var. Contr. by 10
0,None,1,1.9829335734248161,0.26499712,0.18377507,0.1445961,0.131237,0.1112527,0.077702545,0.025432926,0.022889338,0.020141663,0.017975485
1,Fixed,1,1.9897125884890556,0.26082826,0.17923614,0.14373356,0.13337724,0.1164873,0.079440944,0.025713209,0.023574697,0.019251417,0.018357258
2,Free,1,1.9857187718153,0.2635236,0.18039572,0.14788444,0.13179703,0.11196523,0.077472,0.025221985,0.023338715,0.019986752,0.018414536
3,Hierarchical,1,1.9810132384300232,0.26573256,0.18550734,0.14040901,0.12913726,0.1134599,0.0811037,0.024618292,0.022623116,0.019788584,0.017620228
4,Cluster,1,1.985051915049553,0.2666588,0.17377958,0.14560552,0.13393454,0.11683299,0.076863445,0.024689617,0.023054281,0.019902643,0.018678578
5,None,2,1.8253635372966528,0.2776574,0.19932799,0.17159575,0.14936043,0.116683856,0.05214399,0.013667164,0.0076598786,0.0062634707,0.005640059
6,Fixed,2,1.817357398569584,0.28354013,0.20754354,0.16762622,0.15024163,0.10366879,0.05420241,0.014174457,0.0066589406,0.006405516,0.0059383744
7,Free,2,1.8304825611412525,0.27305472,0.20635581,0.17270868,0.15353611,0.10465059,0.054241784,0.014762721,0.007686162,0.0070647234,0.005938733
8,Hierarchical,2,1.8149759899824858,0.29977006,0.19931415,0.1726313,0.14279126,0.09028653,0.058235686,0.017839734,0.0068525407,0.0064407354,0.0058380454
9,Cluster,2,1.8226208817213774,0.27663928,0.20537269,0.17633414,0.14954957,0.10398272,0.054325256,0.015057166,0.0067051924,0.006187817,0.0058461595
10,None,3,1.9271745570003986,0.27620366,0.19586615,0.1546348,0.13117391,0.09051456,0.08520744,0.02284756,0.017643789,0.013928206,0.011979909
11,Fixed,3,1.8248824141919613,0.32711902,0.18756518,0.17269015,0.11701041,0.09031291,0.057396505,0.01763194,0.01234528,0.009657385,0.008271254
12,Free,3,1.8280655965209007,0.3161364,0.22364567,0.1384631,0.13318789,0.07277089,0.066357896,0.015718102,0.014119318,0.009822531,0.009778189
13,Hierarchical,3,1.8223461210727692,0.30635467,0.20332421,0.16624932,0.12664779,0.10034307,0.05706928,0.016127728,0.008817225,0.007755215,0.007311508
14,Cluster,3,1.903372835367918,0.2849856,0.17331544,0.15986805,0.15711759,0.09003101,0.076581836,0.019618584,0.01458367,0.013220515,0.010677648
15,None,4,2.061545044183731,0.20634812,0.18778215,0.17867178,0.11734466,0.11361136,0.07361358,0.04044607,0.03279263,0.029827379,0.01956223
16,Fixed,4,1.9112845659255981,0.26865414,0.2099889,0.17249036,0.123193756,0.09465728,0.064698525,0.024021626,0.01789311,0.012838041,0.011564253
17,Free,4,1.9588112458586693,0.25666443,0.20100257,0.17248307,0.124320254,0.10024631,0.057796743,0.033383913,0.02317952,0.016721012,0.014202127
18,Hierarchical,4,1.8631785549223423,0.28373495,0.2305144,0.15721586,0.12218212,0.085659824,0.068045385,0.017747812,0.014693535,0.010583058,0.0096230125
19,Cluster,4,1.8783757388591766,0.28210217,0.20059311,0.17955332,0.12743792,0.086429305,0.069393,0.020358639,0.013121089,0.012477411,0.00853405
20,None,5,2.1010950431227684,0.23127955,0.1812139,0.15397915,0.120827764,0.07658701,0.06376488,0.060246076,0.041733086,0.03739183,0.03297677
21,Fixed,5,1.9083054214715958,0.28817347,0.20452498,0.16918077,0.14346565,0.052119087,0.04756402,0.03800859,0.027753407,0.015428322,0.013781721
22,Free,5,1.894026719033718,0.30111152,0.25401875,0.13820307,0.08728195,0.06528584,0.05706016,0.036384583,0.024059244,0.01932168,0.017273203
23,Hierarchical,5,1.8524591401219368,0.31718516,0.22224803,0.14294669,0.10381891,0.08739959,0.068519875,0.018742653,0.015178783,0.0127557935,0.011204505
24,Cluster,5,1.8701099716126919,0.27395862,0.22272554,0.1872777,0.10382846,0.08734024,0.064046174,0.031952366,0.013335529,0.0078395475,0.0076958346
25,None,6,2.172662079334259,0.2043226,0.17308088,0.14831142,0.0919356,0.084180035,0.07460419,0.07103,0.059141662,0.05380148,0.03959213
26,Fixed,6,1.9115579426288605,0.263592,0.22282626,0.1865719,0.12265865,0.069191016,0.055363007,0.028145304,0.019784814,0.017151223,0.014715848
27,Free,6,2.0276061668992043,0.23388743,0.21809123,0.17682894,0.1106623,0.065394714,0.04887677,0.04412105,0.043442756,0.03534228,0.02335254
28,Hierarchical,6,1.8669001646339893,0.32654223,0.20417793,0.1453513,0.10399897,0.08263652,0.0731026,0.020710384,0.017027983,0.013477285,0.01297475
29,Cluster,6,1.8627423085272312,0.2713187,0.21077156,0.18275961,0.12680098,0.09462781,0.065074086,0.023718018,0.011389695,0.0075137215,0.0060257968
30,None,7,2.1804079711437225,0.20556808,0.17791292,0.13116284,0.09850366,0.08443189,0.07688131,0.06427761,0.058892876,0.053419072,0.04894977
31,Fixed,7,1.9490467384457588,0.272565,0.22846498,0.15267335,0.122875586,0.0674832,0.051570788,0.034747742,0.027618373,0.022188857,0.019812124
32,Free,7,2.0876223370432854,0.2542683,0.17214759,0.1638563,0.08926908,0.07449522,0.07346857,0.05563093,0.044273254,0.039225377,0.033365447
33,Hierarchical,7,1.8597462363541126,0.32383472,0.23550509,0.14428698,0.09787236,0.060512867,0.054465503,0.030042037,0.023514275,0.017207356,0.012758836
34,Cluster,7,1.8567090034484863,0.27164057,0.20975073,0.16719893,0.14635742,0.09605259,0.06622018,0.019037537,0.009654691,0.007631963,0.0064553698
35,None,8,2.2206554263830185,0.19698924,0.15085083,0.12188788,0.09937863,0.08713476,0.083871774,0.07564715,0.066873506,0.061938617,0.055427615
36,Fixed,8,2.0862448140978813,0.252381,0.19606313,0.13381937,0.10409407,0.079752855,0.056347005,0.052274615,0.04780151,0.043392397,0.034074012
37,Free,8,2.1034639179706573,0.26538265,0.17330432,0.1297326,0.09204295,0.08496117,0.067349955,0.053788815,0.049382713,0.0449307,0.039124172
38,Hierarchical,8,1.8823713064193726,0.31168145,0.244209,0.15576546,0.084386006,0.056654733,0.040559858,0.03353007,0.032002933,0.02225228,0.01895819
39,Cluster,8,1.8283608183264732,0.2595526,0.22099575,0.1940475,0.14160055,0.09029908,0.056881018,0.015145626,0.007819795,0.007065301,0.0065927906
40,None,9,2.2426954209804535,0.16576037,0.15242502,0.12533402,0.10813794,0.095550865,0.083076745,0.073400974,0.07032406,0.06881456,0.057175472
41,Fixed,9,2.0461869463324547,0.30937502,0.16278759,0.12840666,0.08456716,0.083546706,0.06016587,0.04695693,0.04559326,0.040601943,0.03799885
42,Free,9,2.1077562123537064,0.2527045,0.1904253,0.111699544,0.107855424,0.07962489,0.07276993,0.05454132,0.04774441,0.042988572,0.03964616
43,Hierarchical,9,2.052754692733288,0.24624436,0.19551902,0.17792533,0.085836425,0.074345194,0.06625167,0.051291406,0.04126552,0.03097741,0.030343683
44,Cluster,9,1.804654411971569,0.29385716,0.21982849,0.19512469,0.118811205,0.072766855,0.060371432,0.014836076,0.0097593935,0.0075990176,0.007045661
45,None,10,2.164107844233513,0.2581615,0.12775572,0.12098231,0.09260725,0.08717926,0.078567095,0.072740294,0.058464617,0.05275814,0.05078383
46,Fixed,10,1.9563954919576645,0.34709737,0.16329181,0.14677306,0.07826657,0.06540526,0.059519462,0.04546738,0.034864716,0.032899857,0.026414495
47,Free,10,1.9939607009291649,0.34518534,0.15647061,0.11446009,0.08737625,0.080431685,0.056821167,0.050673045,0.04525919,0.032746606,0.030576043
48,Hierarchical,10,1.9174454137682915,0.30042815,0.2264112,0.16836068,0.08047977,0.06467081,0.049040724,0.039436124,0.03081394,0.02162051,0.018738067
49,Cluster,10,1.8133804723620415,0.26754943,0.24357432,0.1795057,0.13609087,0.082825035,0.05192622,0.014763548,0.009520474,0.0073264474,0.0069179214
50,None,11,2.1389780938625336,0.24211702,0.17743585,0.1251544,0.09713672,0.08341904,0.06308489,0.060371757,0.056496736,0.050425693,0.044357896
51,Fixed,11,1.8234208300709724,0.40907657,0.18531065,0.11470564,0.07773026,0.056504913,0.04609173,0.03458364,0.03239448,0.022520693,0.021081438
52,Free,11,1.5836216583848,0.5080373,0.18371767,0.09385742,0.06810865,0.05131115,0.029815163,0.021876073,0.017406054,0.015422322,0.01044818
53,Hierarchical,11,2.101135276257992,0.2571081,0.17386757,0.13807186,0.1024588,0.076470315,0.069816105,0.061004173,0.046763137,0.040660348,0.033779625
