,Residual,Depth,Sum Silhouette,Sum Absolute Silhouette,Mean Silhouette,Mean Absolute Silhouette
0,None,1,-29.40224,59.36461,-0.058804482,0.11872922
1,Fixed,1,-31.212181,60.749565,-0.06242436,0.12149913
2,Free,1,-32.068043,60.734806,-0.06413609,0.12146961
3,Hierarchical,1,-29.040386,60.343277,-0.058080774,0.12068655
4,Cluster,1,-32.01134,60.767105,-0.06402268,0.12153421
5,None,2,-39.760624,81.41905,-0.079521246,0.1628381
6,Fixed,2,-39.98694,83.28821,-0.07997388,0.16657642
7,Free,2,-39.621117,82.13469,-0.07924224,0.16426937
8,Hierarchical,2,-38.226677,79.569115,-0.07645335,0.15913823
9,Cluster,2,-38.981323,82.520966,-0.077962644,0.16504194
10,None,3,-38.99455,90.236755,-0.077989094,0.1804735
11,Fixed,3,-36.159355,88.51448,-0.07231871,0.17702895
12,Free,3,-46.149467,99.09938,-0.09229893,0.19819877
13,Hierarchical,3,-40.38273,87.41848,-0.080765456,0.17483696
14,Cluster,3,-34.894943,87.14532,-0.06978989,0.17429063
15,None,4,-44.666565,87.47249,-0.08933313,0.17494498
16,Fixed,4,-34.503067,86.699326,-0.06900614,0.17339864
17,Free,4,-54.189095,103.283714,-0.10837819,0.20656742
18,Hierarchical,4,-46.469208,98.83239,-0.092938416,0.19766478
19,Cluster,4,-45.18032,98.48353,-0.09036064,0.19696705
20,None,5,-48.23385,92.086334,-0.096467696,0.18417268
21,Fixed,5,-39.78735,92.97111,-0.0795747,0.18594222
22,Free,5,-68.92962,118.85733,-0.13785924,0.23771466
23,Hierarchical,5,-54.457462,105.06949,-0.10891493,0.21013898
24,Cluster,5,-49.23741,99.473495,-0.09847482,0.198947
25,None,6,-65.66494,100.69635,-0.13132988,0.2013927
26,Fixed,6,-44.36173,97.46315,-0.08872346,0.1949263
27,Free,6,-53.385162,87.76243,-0.10677032,0.17552486
28,Hierarchical,6,-50.542656,102.9145,-0.10108531,0.205829
29,Cluster,6,-41.20878,89.85884,-0.082417555,0.17971767
30,None,7,-74.24706,102.25024,-0.14849412,0.20450047
31,Fixed,7,-59.545433,105.28736,-0.11909086,0.21057472
32,Free,7,-19.941965,87.290054,-0.03988393,0.17458011
33,Hierarchical,7,-25.976776,84.995186,-0.05195355,0.16999038
34,Cluster,7,-44.50943,92.936584,-0.08901886,0.18587317
35,None,8,-57.28637,96.77928,-0.11457274,0.19355856
36,Fixed,8,-58.12617,88.74725,-0.11625234,0.17749451
37,Free,8,33.81484,112.788185,0.06762968,0.22557637
38,Hierarchical,8,-46.69822,99.42851,-0.09339644,0.19885702
39,Cluster,8,-46.176422,94.28629,-0.092352845,0.18857259
40,None,9,-96.15131,96.15131,-0.19230263,0.19230263
41,Fixed,9,-16.596703,105.4064,-0.033193406,0.2108128
42,Free,9,-26.440704,125.42075,-0.05288141,0.2508415
43,Hierarchical,9,-52.43928,103.982254,-0.10487856,0.20796451
44,Cluster,9,-59.34516,103.33185,-0.11869032,0.2066637
45,None,10,-24.330677,118.43326,-0.048661355,0.23686652
46,Fixed,10,46.975506,113.97808,0.09395101,0.22795616
47,Free,10,-1.2305713,135.26434,-0.0024611426,0.27052867
48,Hierarchical,10,-51.11431,90.38136,-0.10222862,0.18076272
49,Cluster,10,-47.127007,96.16571,-0.09425401,0.19233142
50,None,11,-30.619751,117.54359,-0.061239503,0.23508717
51,Fixed,11,-136.34712,142.83835,-0.27269423,0.2856767
52,Free,11,175.37201,346.43707,0.350744,0.69287413
53,Hierarchical,11,-57.958767,137.14499,-0.11591753,0.27428997
54,Cluster,11,-48.70922,96.873146,-0.09741844,0.1937463
55,None,12,-97.326935,104.453354,-0.19465387,0.20890671
56,Fixed,12,122.82973,245.04501,0.24565946,0.49009
57,Free,12,-15.655978,192.30453,-0.031311955,0.38460907
58,Hierarchical,12,19.828188,165.25476,0.039656375,0.3305095
59,Cluster,12,-39.39238,90.48471,-0.07878476,0.18096942
60,None,13,-52.672558,97.16368,-0.105345115,0.19432737
61,Fixed,13,136.00107,168.26022,0.27200213,0.33652043
62,Free,13,156.35434,323.58655,0.31270868,0.6471731
63,Hierarchical,13,0.22807598,158.43716,0.00045615196,0.31687433
64,Cluster,13,-50.349583,96.2421,-0.100699164,0.1924842
65,None,14,-14.327404,137.87051,-0.028654808,0.27574104
66,Fixed,14,190.8512,362.80762,0.3817024,0.72561526
67,Free,14,-3.2281427,189.36458,-0.0064562852,0.37872916
68,Hierarchical,14,-11.532343,128.85815,-0.023064686,0.2577163
69,Cluster,14,-43.851402,86.52612,-0.0877028,0.17305225
70,None,15,-81.76525,150.81308,-0.1635305,0.30162615
71,Fixed,15,200.75476,304.99792,0.40150952,0.60999584
72,Free,15,193.05234,362.4411,0.38610467,0.7248822
73,Hierarchical,15,181.82217,279.06183,0.36364436,0.55812365
74,Cluster,15,-42.515137,90.42475,-0.08503027,0.18084951
75,None,16,27.470959,98.590416,0.05494192,0.19718084
76,Fixed,16,20.176386,224.3052,0.040352773,0.44861042
77,Free,16,162.60115,333.2556,0.3252023,0.66651124
78,Hierarchical,16,3.2734523,207.07886,0.0065469043,0.41415772
79,Cluster,16,-51.244602,101.606705,-0.1024892,0.20321341
80,None,17,-1.6189432,145.85645,-0.0032378864,0.29171288
81,Fixed,17,101.55988,299.80078,0.20311977,0.59960157
82,Free,17,153.41965,320.0749,0.3068393,0.6401498
83,Hierarchical,17,160.04297,323.90137,0.32008594,0.6478027
84,Cluster,17,-42.264847,88.399956,-0.08452969,0.17679991
85,None,18,-32.90364,172.12549,-0.06580728,0.34425098
86,Fixed,18,-345.62463,345.62463,-0.69124925,0.69124925
87,Free,18,-131.0419,131.0419,-0.2620838,0.2620838
88,Hierarchical,18,76.81195,246.4195,0.15362391,0.49283898
89,Cluster,18,-51.75491,100.606094,-0.10350982,0.20121218
90,None,19,-345.6226,345.6226,-0.6912452,0.6912452
91,Fixed,19,149.22823,298.68225,0.29845646,0.5973645
92,Free,19,-121.66876,121.66876,-0.24333753,0.24333753
93,Hierarchical,19,-62.635155,184.13971,-0.1252703,0.36827943
94,Cluster,19,-49.925106,92.445045,-0.099850215,0.18489009
95,None,20,-346.10632,346.10632,-0.69221264,0.69221264
96,Fixed,20,-348.66724,348.66724,-0.69733447,0.69733447
97,Free,20,-175.99574,175.99574,-0.35199147,0.35199147
98,Hierarchical,20,112.91173,314.06702,0.22582346,0.628134
99,Cluster,20,-47.48394,94.869446,-0.09496788,0.18973888
